_id,email,isAdmin,password,username
63088f9c61932ad76208a87e,ALG01@gmail.com,false,ALG01,ALG01
63088fbe0207a6be81b4b936,ALG06@gmail.com,false,ALG06,ALG06
630890bd61932ad76208a87f,ALG02@gmail.com,false,ALG02,ALG02
630890db61932ad76208a880,ALG03@gmail.com,false,ALG03,ALG03
630890f861932ad76208a881,ALG04@gmail.com,false,ALG04,ALG04
6308912a61932ad76208a882,ALG05@gmail.com,false,ALG05,ALG05
630891b561932ad76208a883,ALG07@gmail.com,false,ALG07,ALG07
630891f461932ad76208a884,ALG08@gmail.com,false,ALG08,ALG08
6308921661932ad76208a885,ALG09@gmail.com,false,ALG09,ALG09
6308923761932ad76208a886,ALG10@gmail.com,false,ALG10,ALG10
